filename,target_captions,can_be_used_without_source,source_caption_index
MusicDelta_BebopJazz_MIX.wav,"A recording of an upbeat rock song.",1,1
MusicDelta_BebopJazz_MIX.wav,"A recording of a catchy Arabic song.",1,1
MusicDelta_BebopJazz_MIX.wav,"A recording of an dark rock song.",1,1
MusicDelta_BebopJazz_MIX.wav,"A recording of an cool and slow jazz song.",1,1
MusicDelta_BebopJazz_MIX.wav,"A recording of an epic movie soundtrack.",1,1
MusicDelta_BebopJazz_MIX.wav,"A jazz song with a flute, guitar, piano, bass and drums playing.",0,2
MusicDelta_BebopJazz_MIX.wav,"A jazz song with a guitar, trumpet, piano, bass and drums playing.",0,2
MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, guitar, piano, bass and drums playing.",0,2
MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, guitar, bass and drums playing.",0,2
MusicDelta_BebopJazz_MIX.wav,"A jazz song with 2 trumpets, piano, bass and drums playing.",0,2
MusicDelta_BebopJazz_MIX.wav,"A rock song with a guitar, piano, bass and drums playing.",0,2
MusicDelta_BebopJazz_MIX.wav,"a flute, trumpet, piano, bass and drums playing.",0,3
MusicDelta_BebopJazz_MIX.wav,"a saxophone, flute, piano, bass and drums playing.",0,3
MusicDelta_BebopJazz_MIX.wav,"a guitar, trumpet, piano, bass and drums playing.",0,3
MusicDelta_BebopJazz_MIX.wav,"a saxophone, guitar, piano, bass and drums playing.",0,3
MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, guitar, bass and drums playing.",0,3
MusicDelta_BebopJazz_MIX.wav,"a violin, trumpet, piano, bass and drums playing.",0,3
MusicDelta_BebopJazz_MIX.wav,"a saxophone, violin, piano, bass and drums playing.",0,3
MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, violin, bass and drums playing.",0,3
MusicDelta_BebopJazz_MIX.wav,"strings, bass and drums playing.",0,3
MusicDelta_Beethoven_MIX.wav,"A recording of an epic movie soundtrack.",1,1
MusicDelta_Beethoven_MIX.wav,"A recording of a heavy metal song.",1,1
MusicDelta_Beethoven_MIX.wav,"A recording of a dark techno song.",1,1
MusicDelta_Beethoven_MIX.wav,"A recording of an angry hip hop beat.",1,1
MusicDelta_Beethoven_MIX.wav,"A recording of a funky jazz song.",1,1
MusicDelta_Beethoven_MIX.wav,"A recording of an emotional Arabic song.",1,1
MusicDelta_Beethoven_MIX.wav,"A recording of an upbeat country song.",1,1
MusicDelta_Beethoven_MIX.wav,"A recording of a rock song.",1,1
MusicDelta_Beethoven_MIX.wav,"An orchestra playing an epic movie soundtrack score. You can hear flutes and strings.",0,2
MusicDelta_Beethoven_MIX.wav,"A string section playing classical music.",1,2
MusicDelta_Beethoven_MIX.wav,"A rock band playing rock music. You can hear guitars and a piano.",0,2
MusicDelta_Beethoven_MIX.wav,"An orchestra playing classical music. You can hear a piano and strings.",0,2
MusicDelta_Beethoven_MIX.wav,"An orchestra playing classical music. You can hear flutes and a piano.",0,2
MusicDelta_Beethoven_MIX.wav,"An orchestra playing classical music. You can hear strings.",0,2
MusicDelta_Beethoven_MIX.wav,"A high quality recording of wind instruments playing.",0,3
MusicDelta_Beethoven_MIX.wav,"A high quality recording of strings playing.",0,3
MusicDelta_Beethoven_MIX.wav,"A high quality recording of a piano playing.",0,3
MusicDelta_Beethoven_MIX.wav,"A high quality recording of a piano and strings playing.",0,3
MusicDelta_Beethoven_MIX.wav,"A high quality recording of wind instruments and a piano playing.",0,3
MusicDelta_Beethoven_MIX.wav,"A high quality recording of drums and strings playing.",0,3
MusicDelta_Beethoven_MIX.wav,"A high quality recording of trumpets and cellos playing.",0,3
MusicDelta_Britpop_MIX.wav,"A recording of an arcade game soundtrack.",1,1
MusicDelta_Britpop_MIX.wav,"A recording of a metal song.",1,1
MusicDelta_Britpop_MIX.wav,"A recording of a country song.",1,1
MusicDelta_Britpop_MIX.wav,"A recording of a techno song.",1,1
MusicDelta_Britpop_MIX.wav,"A recording of Arabic music.",1,1
MusicDelta_Britpop_MIX.wav,"A recording of a rock song.",1,1
MusicDelta_Britpop_MIX.wav,"A recording of a classical music piece.",1,1
MusicDelta_Britpop_MIX.wav,"A recording of a hip hop song.",1,1
MusicDelta_Britpop_MIX.wav,"A recording of a jazz song.",1,1
MusicDelta_Britpop_MIX.wav,"A man is singing while another man, guitars, drums and bass are playing in the background.",0,2
MusicDelta_Britpop_MIX.wav,"A man is singing while another woman, guitars, drums and bass are playing in the background.",0,2
MusicDelta_Britpop_MIX.wav,"A woman is singing while another man, guitars, drums and bass are playing in the background.",0,2
MusicDelta_Britpop_MIX.wav,"A woman is singing while another woman, violins, drums and bass are playing in the background.",0,2
MusicDelta_Britpop_MIX.wav,"A woman is singing while an orchestra is playing in the background.",1,2
MusicDelta_Britpop_MIX.wav,"A high quality recording of an orchestra playing an epic movie soundtrack score.",1,3
MusicDelta_Britpop_MIX.wav,"A high quality recording of a string section playing an inspiring classical music piece.",1,3
MusicDelta_Britpop_MIX.wav,"A high quality recording of a jazz band playing an upbeat jazz song.",1,3
MusicDelta_Britpop_MIX.wav,"A high quality recording of a country band playing a funky country song.",1,3
MusicDelta_Britpop_MIX.wav,"A high quality recording of a hip hop band playing an upbeat hip hop song.",1,3
MusicDelta_Britpop_MIX.wav,"A high quality recording of electronic instruments playing an intense techno song.",1,3
MusicDelta_Britpop_MIX.wav,"A high quality recording of a rock band playing a somber rock song.",1,3
MusicDelta_Britpop_MIX.wav,"A high quality recording of a rock band playing a sad and quiet rock song.",1,3
MusicDelta_Britpop_MIX.wav,"A high quality recording of a rock band playing a slow metal song.",1,3
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of happy Arabic music.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of happy Hindu music.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of happy rock music.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of happy pop music.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of happy techno music.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of an arcade game soundtrack.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of happy grunge rock music.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of angry metal music.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of an epic movie soundtrack.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of a funky arcade game soundtrack.",1,1
MusicDelta_ChineseChaoZhou_MIX.wav,"Arabic strings, flutes, and harps playing an upbeat piece.",1,2
MusicDelta_ChineseChaoZhou_MIX.wav,"strings, flutes, and harps playing an upbeat piece.",1,2
MusicDelta_ChineseChaoZhou_MIX.wav,"strings, flutes, and harps playing an epic piece.",1,2
MusicDelta_ChineseChaoZhou_MIX.wav,"Chinese strings, flutes, and harps playing an somber piece.",1,2
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of Arabic instruments playing.",1,3
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of an orchestra playing.",1,3
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of a rock band playing.",1,3
MusicDelta_ChineseChaoZhou_MIX.wav,"A recording of a synthesizer playing.",1,3
MusicDelta_ChineseDrama_MIX.wav,"A recording of a happy Chinese piece.",1,1
MusicDelta_ChineseDrama_MIX.wav,"A recording of an arcade game soundtrack.",1,1
MusicDelta_ChineseDrama_MIX.wav,"A recording of an upbeat Chinese piece.",1,1
MusicDelta_ChineseDrama_MIX.wav,"A recording of an upbeat Hindu piece.",1,1
MusicDelta_ChineseDrama_MIX.wav,"A recording of a dramatic epic Arabic piece.",1,1
MusicDelta_ChineseDrama_MIX.wav,"A recording of a dramatic techno piece.",1,1
MusicDelta_ChineseDrama_MIX.wav,"A recording of a dramatic heavy metal piece.",1,1
MusicDelta_ChineseDrama_MIX.wav,"A recording of upbeat pop music.",1,1
MusicDelta_ChineseDrama_MIX.wav,"Arabic strings, flutes, and harp playing an epic dramatic song.",0,2
MusicDelta_ChineseDrama_MIX.wav,"Strings, flutes, and harp playing an epic dramatic song.",0,2
MusicDelta_ChineseDrama_MIX.wav,"Strings, flutes, and harp playing an upbeat happy piece.",0,2
MusicDelta_ChineseDrama_MIX.wav,"A recording of Hindu instruments playing.",1,3
MusicDelta_ChineseDrama_MIX.wav,"A recording of Arabic instruments playing.",1,3
MusicDelta_ChineseDrama_MIX.wav,"A recording of an orchestra playing.",1,3
MusicDelta_ChineseDrama_MIX.wav,"A recording of a rock band playing.",1,3
MusicDelta_ChineseDrama_MIX.wav,"A recording of a synthesizer playing.",1,3
MusicDelta_ChineseHenan_MIX.wav,"A recording of calm happy Arabic music.",1,1
MusicDelta_ChineseHenan_MIX.wav,"A recording of calm happy movie soundtrack.",1,1
MusicDelta_ChineseHenan_MIX.wav,"A recording of calm happy rock song.",1,1
MusicDelta_ChineseHenan_MIX.wav,"A recording of harsh and scary Chinese music.",1,1
MusicDelta_ChineseHenan_MIX.wav,"A recording of techno music.",1,1
MusicDelta_ChineseHenan_MIX.wav,"A recording of calm happy country music.",1,1
MusicDelta_ChineseHenan_MIX.wav,"A recording of calm happy jazz music.",1,1
MusicDelta_ChineseHenan_MIX.wav,"A recording of cool and slow jazz music.",1,1
MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing angry and scary Chinese music.",0,2
MusicDelta_ChineseHenan_MIX.wav,"Hindu strings, flutes, and harp playing calm happy Hindu music.",0,2
MusicDelta_ChineseHenan_MIX.wav,"Arabic strings, flutes, and harp playing calm happy Arabic music.",0,2
MusicDelta_ChineseHenan_MIX.wav,"Strings, flutes, and harp playing calm happy rock music.",0,2
MusicDelta_ChineseHenan_MIX.wav,"Strings, flutes, and harp playing calm happy techno music.",0,2
MusicDelta_ChineseHenan_MIX.wav,"Guitars, saxophones, and piano playing calm happy jazz music.",0,2
MusicDelta_ChineseHenan_MIX.wav,"Guitars, saxophones, and piano playing calm happy elevator music.",0,2
MusicDelta_ChineseHenan_MIX.wav,"Violins, flutes, and harp playing a romantic movie soundtrack.",0,2
MusicDelta_ChineseHenan_MIX.wav,"A recording of Arabic instruments playing.",0,3
MusicDelta_ChineseHenan_MIX.wav,"A recording of Hindu instruments playing.",0,3
MusicDelta_ChineseHenan_MIX.wav,"A recording of an orchestra playing.",1,3
MusicDelta_ChineseHenan_MIX.wav,"A recording of a string section playing.",1,3
MusicDelta_ChineseHenan_MIX.wav,"A recording of electronic music playing.",1,3
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a sad village Chinese song.",0,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a happy village Arabic song.",0,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of an arcade game soundtrack.",1,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a metal song.",1,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a classical music piece.",0,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a happy jazz song.",1,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a somber jazz song.",1,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a happy pop song.",1,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a happy country song.",1,1
MusicDelta_ChineseJiangNan_MIX.wav,"A recording of a rave techno song.",1,1
MusicDelta_ChineseJiangNan_MIX.wav,"Arabic strings, flutes, and harp playing a happy village Arabic song.",0,2
MusicDelta_ChineseJiangNan_MIX.wav,"Strings, flutes, and harp playing a happy jazz song.",1,2
MusicDelta_ChineseJiangNan_MIX.wav,"Strings, flutes, and harp playing an angry metal song.",0,2
MusicDelta_ChineseJiangNan_MIX.wav,"Guitars, trumpets, and piano playing a happy song.",0,2
MusicDelta_ChineseJiangNan_MIX.wav,"A high quality recording of Arabic instruments playing.",0,3
MusicDelta_ChineseJiangNan_MIX.wav,"A high quality recording of an orchestra playing.",1,3
MusicDelta_ChineseJiangNan_MIX.wav,"A high quality recording of a rock band playing.",1,3
MusicDelta_ChineseJiangNan_MIX.wav,"A high quality recording of a retro arcade soundtrack playing.",1,3
MusicDelta_ChineseXinJing_MIX.wav,"A recording of a cool mysterious orchestral movie soundtrack song.",0,1
MusicDelta_ChineseXinJing_MIX.wav,"A recording of a happy Arabic Chinese song.",0,1
MusicDelta_ChineseXinJing_MIX.wav,"A recording of a cool mysterious arcade game soundtrack.",1,1
MusicDelta_ChineseXinJing_MIX.wav,"A recording of a fun happy arcade game soundtrack.",1,1
MusicDelta_ChineseXinJing_MIX.wav,"A recording of a cool mysterious rock song.",1,1
MusicDelta_ChineseXinJing_MIX.wav,"A recording of a cool mysterious hip hop song.",1,1
MusicDelta_ChineseXinJing_MIX.wav,"A recording of a cool mysterious techno song.",1,1
MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a happy song, alongside drums and Chinese flutes.",0,2
MusicDelta_ChineseXinJing_MIX.wav,"Strings playing a mysterious song, alongside drums and flutes.",0,2
MusicDelta_ChineseXinJing_MIX.wav,"Strings playing an epic movie soundtrack, alongside drums and wind instruments.",0,2
MusicDelta_ChineseXinJing_MIX.wav,"Guitars playing a rock song, alongside drums and bass.",1,2
MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of strings, drums and flutes playing.",0,3
MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of an orchestra playing.",1,3
MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of a string quartet playing.",1,3
MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of a rock band playing.",1,3
MusicDelta_ChineseXinJing_MIX.wav,"A high quality recording of a guitars, bass, drums and piano playing.",1,3
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a sad calm Chinese song.",0,1
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a happy calm Arabic song.",0,1
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a happy calm hip hop song.",1,1
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a happy calm rock song.",1,1
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a happy calm country song.",10,1
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a happy arcade game soundtrack.",1,1
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a happy movie score.",1,1
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a happy orchestral score.",0,1
MusicDelta_ChineseYaoZu_MIX.wav,"Chinese flutes and strings playing a somber calm Chinese song.",0,2
MusicDelta_ChineseYaoZu_MIX.wav,"Flutes and strings playing a happy calm classical score.",0,2
MusicDelta_ChineseYaoZu_MIX.wav,"Flutes and guitars playing a happy calm song.",0,2
MusicDelta_ChineseYaoZu_MIX.wav,"A string section playing a happy calm song.",1,2
MusicDelta_ChineseYaoZu_MIX.wav,"A piano and strings playing a happy calm song.",0,2
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of Arabic instruments playing.",1,3
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of electronic music playing.",1,3
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a rock band playing.",1,3
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of a string quartet playing.",1,3
MusicDelta_ChineseYaoZu_MIX.wav,"A recording of an orchestra playing.",1,3
MusicDelta_CoolJazz_MIX.wav,"A recording of an upbeat jazz song.",0,1
MusicDelta_CoolJazz_MIX.wav,"A recording of a cool calm rock song.",1,1
MusicDelta_CoolJazz_MIX.wav,"A recording of a cool calm hip hop song.",1,1
MusicDelta_CoolJazz_MIX.wav,"A recording of a cool calm techno song.",1,1
MusicDelta_CoolJazz_MIX.wav,"A recording of a cool calm arcade game soundtrack.",1,1
MusicDelta_CoolJazz_MIX.wav,"A recording of an upbeat country song.",1,1
MusicDelta_CoolJazz_MIX.wav,"A recording of a mysterious Arabic song.",1,1
MusicDelta_CoolJazz_MIX.wav,"A saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0,2
MusicDelta_CoolJazz_MIX.wav,"A trumpet playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0,2
MusicDelta_CoolJazz_MIX.wav,"A violin and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0,2
MusicDelta_CoolJazz_MIX.wav,"A trumpet and a violin playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0,2
MusicDelta_CoolJazz_MIX.wav,"A guitar and a saxophone playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0,2
MusicDelta_CoolJazz_MIX.wav,"A trumpet and a guitar playing a cool jazz melody, with an accompaniment of a piano, bass and drums.",0,2
MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a cool metal melody, with an accompaniment of a piano, bass and drums.",0,2
MusicDelta_CoolJazz_MIX.wav,"A trumpet and a saxophone playing a funky techno melody, with an accompaniment of a piano, bass and drums.",0,2
MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a saxophone, a piano, a bass guitar and drums playing.",0,3
MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a trumpet, a piano, a bass guitar and drums playing.",0,3
MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a guitar, a saxophone, a piano, a bass guitar and drums playing.",0,3
MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a trumpet, a guitar, a piano, a bass guitar and drums playing.",0,3
MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a violin, a saxophone, a piano, a bass guitar and drums playing.",0,3
MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a trumpet, a violin, a piano, a bass guitar and drums playing.",0,3
MusicDelta_CoolJazz_MIX.wav,"A high quality recording of a violin, a piano, a bass guitar and drums playing.",0,3
MusicDelta_Country1_MIX.wav,"A recording of a funky, upbeat country song.",0,1
MusicDelta_Country1_MIX.wav,"A recording of a calm rock song.",1,1
MusicDelta_Country1_MIX.wav,"A recording of a calm arcade game soundtrack.",1,1
MusicDelta_Country1_MIX.wav,"A recording of a calm movie soundtrack score.",1,1
MusicDelta_Country1_MIX.wav,"A recording of a calm classical score.",1,1
MusicDelta_Country1_MIX.wav,"A recording of a calm hip hop beat.",1,1
MusicDelta_Country1_MIX.wav,"A recording of a calm jazz song.",1,1
MusicDelta_Country1_MIX.wav,"A woman is singing while a guitar, bass and drums playing in the background a calm country song.",0,2
MusicDelta_Country1_MIX.wav,"A man is singing while a violin, bass and drums playing in the background a calm country song.",0,2
MusicDelta_Country1_MIX.wav,"A violin playing while a guitar, bass and drums playing in the background a calm country song.",0,2
MusicDelta_Country1_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background an angry metal song.",0,2
MusicDelta_Country1_MIX.wav,"An electric keyboard playing while a guitar, bass and drums playing in the background a harsh techno song.",0,2
MusicDelta_Country1_MIX.wav,"A high quality recording of a piano playing, and a guitar, bass and drums playing.",0,3
MusicDelta_Country1_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing.",0,3
MusicDelta_Country1_MIX.wav,"A high quality recording of a man singing, and a violin, bass and drums playing.",0,3
MusicDelta_Country1_MIX.wav,"A high quality recording of a man singing, and a piano, bass and drums playing.",0,3
MusicDelta_Country1_MIX.wav,"A high quality recording of a guitar, bass and drums playing.",0,3
MusicDelta_Country2_MIX.wav,"A recording of a metal song.",1,1
MusicDelta_Country2_MIX.wav,"A recording of a hip hop song.",1,1
MusicDelta_Country2_MIX.wav,"A recording of a classical song.",1,1
MusicDelta_Country2_MIX.wav,"A recording of a techno song.",1,1
MusicDelta_Country2_MIX.wav,"A recording of an arcade game soundtrack.",1,1
MusicDelta_Country2_MIX.wav,"A recording of a movie soundtrack.",1,1
MusicDelta_Country2_MIX.wav,"A recording of a pop song.",1,1
MusicDelta_Country2_MIX.wav,"A recording of an oriental song.",1,1
MusicDelta_Country2_MIX.wav,"A man is singing a country song with a guitar, bass and drums playing in the background.",0,2
MusicDelta_Country2_MIX.wav,"A man is singing a rock song with a guitar, bass and drums playing in the background.",0,2
MusicDelta_Country2_MIX.wav,"A woman is singing an opera song with an orchestra playing in the background.",0,2
MusicDelta_Country2_MIX.wav,"A violin playing a country song with a guitar, bass and drums playing in the background.",0,2
MusicDelta_Country2_MIX.wav,"A woman is singing a jazz song with a trumpet, bass and drums playing in the background.",0,2
MusicDelta_Country2_MIX.wav,"A woman is singing a country song with a violin, bass and drums playing in the background.",0,2
MusicDelta_Country2_MIX.wav,"A woman is singing a country song with a trumpet, bass and drums playing in the background.",0,2
MusicDelta_Country2_MIX.wav,"A high quality recording of a man singing, and a guitar, bass and drums playing.",0,3
MusicDelta_Country2_MIX.wav,"A high quality recording of a violin playing, and a guitar, bass and drums playing.",0,3
MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a violin, bass and drums playing.",0,3
MusicDelta_Country2_MIX.wav,"A high quality recording of a woman singing, and a piano, bass and drums playing.",0,3
MusicDelta_Country2_MIX.wav,"A high quality recording of a piano playing, and a guitar, bass and drums playing.",0,3
MusicDelta_Country2_MIX.wav,"A high quality recording of a trumpet playing, and a guitar, bass and drums playing.",0,3
MusicDelta_Country2_MIX.wav,"A high quality recording of a guitar, bass and drums playing.",0,3
MusicDelta_Disco_MIX.wav,"A recording of an upbeat country song.",1,1
MusicDelta_Disco_MIX.wav,"A recording of an upbeat techno song.",1,1
MusicDelta_Disco_MIX.wav,"A recording of an angry metal song.",1,1
MusicDelta_Disco_MIX.wav,"A recording of a sad rap song.",1,1
MusicDelta_Disco_MIX.wav,"A recording of an epic movie soundtrack.",1,1
MusicDelta_Disco_MIX.wav,"A recording of an upbeat arcade game soundtrack.",1,1
MusicDelta_Disco_MIX.wav,"A recording of  calm jazz song.",1,1
MusicDelta_Disco_MIX.wav,"A woman is singing while a guitar, bass and drums are accompanying her in a happy upbeat disco song.",0,2
MusicDelta_Disco_MIX.wav,"A man is singing in high pitched voice while a guitar, bass and drums are accompanying him in an angry metal song.",0,2
MusicDelta_Disco_MIX.wav,"Electrical keyboard is playing while a guitar, bass and drums are accompanying it in an upbeat techno song.",0,2
MusicDelta_Disco_MIX.wav,"A trumpet is playing while a guitar, bass and drums are accompanying it in a happy upbeat disco song.",0,2
MusicDelta_Disco_MIX.wav,"A man is singing while a trumpet, bass and drums are accompanying him in a funky upbeat jazz song.",0,2
MusicDelta_Disco_MIX.wav,"A kid is singing while a piano, bass and drums are accompanying him in a happy upbeat rock song.",0,2
MusicDelta_Disco_MIX.wav,"A high quality recording of a woman singing, and a guitar, bass and drums playing.",0,3
MusicDelta_Disco_MIX.wav,"A high quality recording of a guitar, bass and drums playing.",0,3
MusicDelta_Disco_MIX.wav,"A high quality recording of a violin playing, and a guitar, bass and drums playing.",0,3
MusicDelta_Disco_MIX.wav,"A high quality recording of a piano playing, and a guitar, bass and drums playing.",0,3
MusicDelta_Disco_MIX.wav,"A high quality recording of a man singing, and a piano, bass and drums playing.",0,3
MusicDelta_Disco_MIX.wav,"A high quality recording of a man singing, and a trumpet, bass and drums playing.",0,3
MusicDelta_Disco_MIX.wav,"A high quality recording of a saxophone playing, and a guitar, bass and drums playing.",0,3
MusicDelta_Disco_MIX.wav,"A high quality recording of a man singing, and a saxophone, bass and drums playing.",0,3
MusicDelta_FreeJazz_MIX.wav,"A recording of a romantic country song.",1,1
MusicDelta_FreeJazz_MIX.wav,"A recording of an angry metal song.",1,1
MusicDelta_FreeJazz_MIX.wav,"A recording of a sneaky arcade game soundtrack.",1,1
MusicDelta_FreeJazz_MIX.wav,"A recording of a tense classical music score.",1,1
MusicDelta_FreeJazz_MIX.wav,"A recording of a funky jazz song.",0,1
MusicDelta_FreeJazz_MIX.wav,"A recording of an upbeat Arabic song.",1,1
MusicDelta_FreeJazz_MIX.wav,"A recording of a quiet hip hop song.",1,1
MusicDelta_FreeJazz_MIX.wav,"A trumpet playing a quiet jazz melody, with an accompaniment of bass and drums.",0,2
MusicDelta_FreeJazz_MIX.wav,"A saxophone playing a quiet jazz melody, with an accompaniment of bass and drums.",0,2
MusicDelta_FreeJazz_MIX.wav,"A piano playing a quiet jazz melody, with an accompaniment of bass and drums.",0,2
MusicDelta_FreeJazz_MIX.wav,"A guitar playing a loud metal melody, with an accompaniment of bass and drums.",0,2
MusicDelta_FreeJazz_MIX.wav,"A violin playing a loud classical melody, with an accompaniment of an orchestra.",0,2
MusicDelta_FreeJazz_MIX.wav,"A woman humming a quiet jazz melody, with an accompaniment of bass and drums.",0,2
MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a piano, bass and drums playing.",0,3
MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a trumpet, bass and drums playing.",0,3
MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a saxophone, bass and drums playing.",0,3
MusicDelta_FreeJazz_MIX.wav,"A high quality recording of a piano, bass and drums playing.",0,3
MusicDelta_FreeJazz_MIX.wav,"A high quality recording of an orchestra playing.",1,3
